student_id,name,age,grade,school,district,region,attendance_rate,avg_marks,prev_year_marks,marks_trend,distance_km,family_income,parents_education,family_size,health_absences,monsoon_absences,has_sibling_dropout,child_labor,early_marriage_pressure,has_transport,has_scholarship,mid_day_meal,created_at
STU0016,Vaishnavi Jain,18,12,Govt Model School - Thanjavur,Madurai,Urban,77.76,53.54,50.58,Stable,4.0,10000-20000,Primary,5,2,2,False,False,False,False,False,False,2025-12-29T15:22:13.027206
STU0017,Sneha Joshi,11,6,Government Higher Secondary School - Coimbatore,Tiruchirappalli,Semi-Urban,82.68,69.86,68.31,Stable,20.0,Above 20000,Graduate,3,1,3,False,False,False,True,True,False,2025-02-18T15:22:13.027214
STU0018,Sanjana Reddy,19,12,Govt Girls High School - Tiruchirappalli,Madurai,Urban,80.8,57.65,54.11,Stable,3.0,Above 20000,Illiterate,6,0,2,True,False,False,False,True,False,2025-07-29T15:22:13.027223
STU0019,Madhuri Pillai,15,8,Corporation School - Vellore,Tiruchirappalli,Urban,88.28,85.02,82.92,Stable,0.5,5000-10000,Graduate,6,2,2,False,False,False,False,True,False,2025-02-05T15:22:13.027232
STU0020,Pooja Ahmed,16,10,Municipal Girls School - Madurai,Madurai,Rural,64.6,39.56,36.17,Stable,7.0,Below 5000,Illiterate,5,1,6,True,True,False,True,False,True,2025-08-05T15:22:13.027242
STU0021,Aishwarya Agarwal,17,12,Panchayat Union School - Salem,Vellore,Rural,74.69,41.23,47.56,Declining,7.0,5000-10000,Illiterate,4,10,3,True,False,True,True,False,True,2026-01-01T15:22:13.027251
STU0022,Vaishnavi Desai,17,12,Panchayat Union School - Salem,Chennai,Urban,71.43,32.04,36.36,Stable,0.5,5000-10000,Primary,8,10,3,True,False,True,False,False,False,2025-04-16T15:22:13.027260
STU0023,Tanvi Mehta,15,8,Municipal Girls School - Madurai,Tiruchirappalli,Urban,87.17,70.82,74.64,Stable,2.0,Below 5000,Higher Secondary,6,4,0,False,False,False,True,True,True,2025-11-18T15:22:13.027268
STU0024,Ishita Agarwal,12,6,Panchayat Union School - Salem,Vellore,Urban,88.07,89.07,91.67,Stable,1.0,5000-10000,Illiterate,6,4,2,False,False,False,False,True,False,2025-12-06T15:22:13.027277
STU0025,Ira Mehta,18,12,Corporation School - Vellore,Thanjavur,Semi-Urban,95.69,85.06,93.13,Declining,15.0,Below 5000,Illiterate,4,1,3,False,False,False,True,False,True,2025-02-12T15:22:13.027285
STU0026,Kiara Reddy,12,6,Government Higher Secondary School - Coimbatore,Vellore,Semi-Urban,61.16,34.85,35.22,Stable,2.0,Above 20000,Graduate,3,4,2,False,True,False,False,True,True,2025-04-30T15:22:13.027299
STU0027,Kavya Iyer,15,9,Govt Girls School - Chennai (North),Salem,Urban,77.35,61.54,69.75,Declining,4.0,Below 5000,Higher Secondary,4,6,0,False,False,False,True,True,True,2025-11-09T15:22:13.027308
STU0028,Radhika Bose,14,8,Panchayat Union School - Salem,Salem,Rural,74.35,40.32,38.95,Stable,10.0,5000-10000,Illiterate,4,3,2,True,True,False,True,False,True,2025-12-11T15:22:13.027317
STU0029,Shreya Mehta,17,10,Zilla Parishad School - Villupuram,Coimbatore,Urban,89.93,82.18,74.19,Improving,0.5,Above 20000,Graduate,3,3,1,False,False,False,True,True,True,2025-11-18T15:22:13.027325
STU0030,Myra Mukherjee,14,9,Government Higher Secondary School - Coimbatore,Madurai,Semi-Urban,81.92,69.29,78.83,Declining,5.0,Below 5000,Illiterate,7,2,1,False,False,False,False,True,True,2025-12-10T15:22:13.027333
STU0031,Radhika Rao,14,7,Government Higher Secondary School - Coimbatore,Madurai,Rural,90.93,93.61,100.0,Declining,15.0,Above 20000,Illiterate,5,4,8,False,False,False,False,False,False,2025-06-15T15:22:13.027342
STU0032,Madhuri Menon,17,11,Zilla Parishad School - Villupuram,Salem,Urban,75.4,51.02,53.82,Stable,3.0,Above 20000,Graduate,5,11,2,True,False,False,False,False,True,2025-12-05T15:22:13.027352
STU0033,Aishwarya Shah,16,9,Municipal Girls School - Madurai,Chennai,Urban,68.64,32.34,41.56,Declining,3.0,10000-20000,Secondary,4,8,1,True,True,True,False,True,False,2025-07-14T15:22:13.027361
STU0034,Nandini Sen,16,11,Corporation School - Vellore,Coimbatore,Semi-Urban,91.26,91.31,92.18,Stable,10.0,5000-10000,Illiterate,8,5,2,False,False,False,True,False,True,2025-05-04T15:22:13.027370
STU0035,Saraswati Dutta,11,6,Zilla Parishad School - Villupuram,Salem,Semi-Urban,74.45,39.11,45.61,Declining,12.0,10000-20000,Graduate,3,2,1,True,True,False,False,True,False,2025-12-10T15:22:13.027379
STU0036,Riya Das,14,8,Government Higher Secondary School - Coimbatore,Thanjavur,Rural,73.61,32.75,25.0,Improving,7.0,5000-10000,Illiterate,7,13,9,False,True,False,False,True,True,2025-11-24T15:22:13.027388
STU0037,Sakshi Singh,14,9,Govt Girls High School - Tiruchirappalli,Coimbatore,Urban,86.34,92.21,91.59,Stable,2.0,Above 20000,Illiterate,8,0,0,False,False,False,True,False,True,2025-03-26T15:22:13.027397
STU0038,Jyoti Ghosh,19,12,Zilla Parishad School - Villupuram,Salem,Semi-Urban,81.29,51.6,58.08,Declining,10.0,10000-20000,Secondary,7,15,0,False,False,False,False,False,False,2025-11-21T15:22:13.027405
STU0039,Uma Sen,17,11,Corporation School - Vellore,Madurai,Urban,96.14,77.11,70.39,Improving,0.5,Above 20000,Illiterate,6,0,3,False,False,False,False,False,False,2025-03-22T15:22:13.027414
STU0040,Aishwarya Mukherjee,16,10,Zilla Parishad School - Villupuram,Tiruchirappalli,Rural,70.82,47.62,53.59,Declining,12.0,Below 5000,Illiterate,8,9,2,False,True,False,True,False,True,2025-11-23T15:22:13.027423
STU0041,Uma Ali,13,6,Government Higher Secondary School - Coimbatore,Villupuram,Semi-Urban,78.45,57.29,58.17,Stable,4.0,5000-10000,Higher Secondary,3,12,2,False,False,False,False,True,False,2025-03-02T15:22:13.027431
STU0042,Radha Khan,14,7,Govt Model School - Thanjavur,Salem,Semi-Urban,76.17,55.58,51.91,Stable,1.0,10000-20000,Illiterate,3,1,0,False,False,False,True,False,False,2025-03-27T15:22:13.027439
STU0043,Kavya Rao,16,10,Government Higher Secondary School - Coimbatore,Thanjavur,Semi-Urban,79.01,55.11,49.3,Improving,3.0,Below 5000,Illiterate,3,3,2,False,False,False,False,False,False,2025-07-23T15:22:13.027448
STU0044,Kritika Khan,18,11,Corporation School - Vellore,Salem,Urban,88.45,87.46,90.6,Stable,4.0,5000-10000,Graduate,4,4,1,False,False,False,False,True,False,2025-03-21T15:22:13.027455
STU0045,Myra Iyer,13,6,Government Higher Secondary School - Coimbatore,Villupuram,Urban,99.94,94.98,100.0,Declining,1.0,10000-20000,Higher Secondary,7,5,1,False,False,False,True,True,False,2025-04-23T15:22:13.027464
STU0046,Riya Sen,12,7,Municipal Girls School - Madurai,Thanjavur,Rural,70.94,47.09,56.79,Declining,12.0,5000-10000,Secondary,8,10,4,True,False,True,True,True,False,2025-02-08T15:22:13.027473
STU0047,Simran Banerjee,14,9,Govt Girls School - Chennai (North),Villupuram,Rural,93.46,79.27,75.2,Stable,12.0,5000-10000,Secondary,5,1,0,False,False,False,True,True,True,2025-01-25T15:22:13.027484
STU0048,Pooja Nair,12,7,Govt Girls High School - Tiruchirappalli,Tiruchirappalli,Semi-Urban,79.71,57.11,63.44,Declining,3.0,Below 5000,Primary,4,12,0,False,False,False,True,False,True,2025-01-28T15:22:13.027493
STU0049,Tanvi Bose,12,7,Panchayat Union School - Salem,Coimbatore,Rural,64.72,30.01,25.0,Improving,7.0,5000-10000,Secondary,3,9,10,True,True,True,False,True,False,2025-07-25T15:22:13.027502
STU0050,Diya Patel,14,9,Corporation School - Vellore,Coimbatore,Semi-Urban,96.27,86.45,85.37,Stable,7.0,10000-20000,Illiterate,3,0,2,False,False,False,True,False,False,2025-04-06T15:22:13.027519
STU0051,Diya Joshi,11,6,Govt Model School - Thanjavur,Coimbatore,Urban,86.57,71.14,62.43,Improving,2.0,Above 20000,Primary,6,4,0,False,False,False,True,False,False,2025-07-09T15:22:13.027527
STU0052,Aaradhya Rao,18,12,Zilla Parishad School - Villupuram,Coimbatore,Urban,86.91,90.86,84.92,Improving,4.0,Above 20000,Secondary,7,0,3,False,False,False,True,False,False,2025-01-31T15:22:13.027536
STU0053,Durga Nair,17,12,Government Higher Secondary School - Coimbatore,Tiruchirappalli,Urban,62.03,44.73,35.16,Improving,3.0,5000-10000,Primary,8,5,1,True,False,True,False,False,False,2025-02-07T15:22:13.027545
STU0054,Divya Das,16,9,Govt Girls High School - Tiruchirappalli,Chennai,Urban,60.14,35.18,38.65,Stable,1.0,Below 5000,Secondary,4,6,0,False,True,True,False,True,False,2025-02-07T15:22:13.027554
STU0055,Sanjana Nair,12,7,Zilla Parishad School - Villupuram,Chennai,Semi-Urban,89.93,79.04,81.01,Stable,3.0,5000-10000,Higher Secondary,4,5,3,False,False,False,True,True,False,2025-06-15T15:22:13.027563
STU0056,Sakshi Verma,15,9,Zilla Parishad School - Villupuram,Thanjavur,Semi-Urban,81.81,61.61,67.62,Declining,8.0,5000-10000,Primary,3,4,0,False,False,False,True,False,False,2025-10-23T15:22:13.027571
STU0057,Aditi Shah,11,6,Panchayat Union School - Salem,Villupuram,Rural,98.68,82.13,73.2,Improving,20.0,5000-10000,Illiterate,5,5,3,False,False,False,False,True,True,2025-04-02T15:22:13.027579
STU0058,Saraswati Rao,17,12,Municipal Girls School - Madurai,Thanjavur,Urban,97.88,87.65,79.47,Improving,3.0,10000-20000,Graduate,4,2,0,False,False,False,True,False,True,2025-08-13T15:22:13.027588
STU0059,Shreya Verma,13,8,Govt Model School - Thanjavur,Vellore,Rural,92.38,92.35,87.76,Stable,10.0,5000-10000,Higher Secondary,3,0,10,False,False,False,True,False,False,2025-07-19T15:22:13.027596
STU0060,Ishita Das,13,7,Government Higher Secondary School - Coimbatore,Thanjavur,Urban,70.83,40.79,45.62,Stable,4.0,5000-10000,Illiterate,6,12,3,False,True,False,True,True,True,2025-07-03T15:22:13.027605
STU0061,Parvati Rao,13,8,Municipal Girls School - Madurai,Villupuram,Semi-Urban,98.05,86.37,92.59,Declining,7.0,5000-10000,Illiterate,8,2,0,False,False,False,False,False,True,2025-05-10T15:22:13.027613
STU0062,Vaishnavi Rao,15,9,Govt Girls School - Chennai (North),Chennai,Urban,97.34,77.88,77.09,Stable,0.5,Above 20000,Primary,5,2,1,False,False,False,True,True,True,2025-02-13T15:22:13.027621
STU0063,Jyoti Roy,17,10,Government Higher Secondary School - Coimbatore,Chennai,Rural,64.42,43.63,34.8,Improving,12.0,5000-10000,Secondary,4,12,5,True,False,True,True,True,True,2025-11-19T15:22:13.027630
STU0064,Simran Kumar,15,10,Panchayat Union School - Salem,Thanjavur,Urban,83.44,68.98,69.29,Stable,4.0,Above 20000,Illiterate,3,1,2,False,False,False,False,False,False,2025-12-04T15:22:13.027639
STU0065,Aishwarya Chatterjee,14,8,Municipal Girls School - Madurai,Villupuram,Urban,63.28,38.9,45.69,Declining,4.0,5000-10000,Secondary,6,10,1,True,False,False,True,True,False,2025-10-10T15:22:13.027648
STU0066,Deepika Shah,15,10,Govt Model School - Thanjavur,Coimbatore,Semi-Urban,74.63,36.5,30.19,Improving,10.0,5000-10000,Graduate,6,1,0,False,False,False,True,True,False,2025-04-29T15:22:13.027657
STU0067,Sneha Menon,13,7,Government Higher Secondary School - Coimbatore,Tiruchirappalli,Semi-Urban,65.1,47.16,41.91,Improving,3.0,5000-10000,Illiterate,4,6,2,True,False,False,False,True,False,2025-01-17T15:22:13.027666
STU0068,Priya Bose,17,10,Govt Model School - Thanjavur,Villupuram,Rural,98.12,76.36,77.11,Stable,7.0,10000-20000,Secondary,6,0,9,False,False,False,True,False,True,2025-07-01T15:22:13.027674
STU0069,Divya Mukherjee,16,11,Municipal Girls School - Madurai,Madurai,Semi-Urban,68.3,38.8,35.32,Stable,0.5,5000-10000,Primary,7,11,2,False,False,True,True,True,False,2025-03-02T15:22:13.027683
STU0070,Radhika Ahmed,15,8,Government Higher Secondary School - Coimbatore,Salem,Urban,83.26,50.63,58.91,Declining,1.0,Below 5000,Higher Secondary,5,2,1,False,False,False,False,True,False,2025-08-22T15:22:13.027691
STU0071,Kritika Banerjee,15,10,Govt Model School - Thanjavur,Thanjavur,Urban,71.09,31.13,26.69,Stable,1.0,Above 20000,Illiterate,3,5,2,False,False,False,False,True,True,2026-01-04T15:22:13.027700
STU0072,Anjali Agarwal,19,12,Zilla Parishad School - Villupuram,Chennai,Semi-Urban,85.24,83.1,87.91,Stable,6.0,Above 20000,Secondary,8,1,3,False,False,False,False,False,True,2025-06-12T15:22:13.027708
STU0073,Saraswati Dutta,13,6,Zilla Parishad School - Villupuram,Chennai,Rural,91.67,92.69,97.53,Stable,10.0,Below 5000,Illiterate,6,4,1,False,False,False,True,True,True,2025-03-12T15:22:13.027716
STU0074,Kiara Ahmed,13,6,Govt Girls High School - Tiruchirappalli,Vellore,Urban,79.09,56.53,54.42,Stable,4.0,10000-20000,Secondary,5,5,0,False,False,False,True,False,False,2025-12-01T15:22:13.027724
STU0075,Nandini Menon,19,12,Corporation School - Vellore,Vellore,Rural,76.21,68.01,76.98,Declining,12.0,Above 20000,Primary,7,0,9,False,False,False,True,True,False,2025-10-25T15:22:13.027733
STU0076,Meera Ali,16,11,Municipal Girls School - Madurai,Tiruchirappalli,Semi-Urban,67.69,39.56,41.94,Stable,20.0,Above 20000,Illiterate,6,8,1,False,False,False,False,False,False,2025-07-27T15:22:13.027742
STU0077,Neha Chatterjee,11,6,Corporation School - Vellore,Tiruchirappalli,Semi-Urban,71.15,35.84,43.53,Declining,10.0,Above 20000,Illiterate,6,10,1,True,False,False,False,False,True,2025-05-19T15:22:13.027750
STU0078,Myra Ahmed,17,10,Corporation School - Vellore,Tiruchirappalli,Rural,73.32,30.67,25.0,Improving,5.0,10000-20000,Graduate,7,8,8,True,False,False,False,False,False,2025-06-24T15:22:13.027759
STU0079,Saraswati Pillai,16,10,Govt Girls High School - Tiruchirappalli,Salem,Semi-Urban,99.87,90.89,96.09,Declining,3.0,Below 5000,Primary,4,1,2,False,False,False,True,False,True,2025-09-12T15:22:13.027768
STU0080,Diya Kumar,18,12,Municipal Girls School - Madurai,Thanjavur,Rural,79.41,67.87,73.28,Declining,12.0,10000-20000,Primary,6,12,10,True,False,False,True,True,False,2025-05-17T15:22:13.027776
STU0081,Nandini Jain,13,6,Panchayat Union School - Salem,Villupuram,Semi-Urban,86.89,81.27,88.68,Declining,0.5,5000-10000,Primary,4,3,2,False,False,False,True,False,False,2025-03-19T15:22:13.027784
STU0082,Myra Chatterjee,16,10,Govt Girls School - Chennai (North),Madurai,Semi-Urban,78.3,69.49,75.24,Declining,0.5,Below 5000,Primary,6,5,2,True,False,False,False,False,False,2025-03-10T15:22:13.027792
STU0083,Uma Das,11,6,Municipal Girls School - Madurai,Tiruchirappalli,Urban,90.54,76.43,79.72,Stable,1.0,5000-10000,Secondary,3,5,1,False,False,False,False,False,False,2025-07-25T15:22:13.027801
STU0084,Radha Mehta,14,8,Govt Girls High School - Tiruchirappalli,Salem,Urban,92.86,81.07,87.28,Declining,2.0,Above 20000,Illiterate,3,2,2,False,False,False,True,False,False,2025-08-09T15:22:13.027809
STU0085,Vaishnavi Patel,14,8,Govt Model School - Thanjavur,Tiruchirappalli,Semi-Urban,96.8,85.19,93.31,Declining,2.0,10000-20000,Higher Secondary,3,1,1,False,False,False,False,False,True,2025-06-08T15:22:13.027817
STU0086,Shreya Das,16,11,Panchayat Union School - Salem,Chennai,Urban,97.46,75.01,84.91,Declining,4.0,Below 5000,Secondary,8,1,1,False,False,False,False,True,False,2025-01-07T15:22:13.027826
STU0087,Lakshmi Nair,16,10,Municipal Girls School - Madurai,Chennai,Semi-Urban,65.64,44.28,46.54,Stable,0.5,Above 20000,Primary,5,2,1,False,True,False,False,True,True,2025-09-28T15:22:13.027835
STU0088,Nandini Sharma,14,7,Municipal Girls School - Madurai,Madurai,Rural,73.84,46.55,45.29,Stable,20.0,5000-10000,Illiterate,3,2,2,False,True,True,True,True,True,2025-12-07T15:22:13.027844
STU0089,Kritika Rao,12,6,Govt Model School - Thanjavur,Coimbatore,Semi-Urban,76.93,66.76,74.65,Declining,8.0,10000-20000,Primary,4,3,3,False,False,False,True,False,True,2025-05-01T15:22:13.027853
STU0090,Madhuri Roy,13,8,Municipal Girls School - Madurai,Vellore,Rural,85.73,75.06,71.31,Stable,15.0,10000-20000,Secondary,8,1,1,False,False,False,True,True,True,2025-02-05T15:22:13.027863
STU0091,Deepika Jain,13,7,Municipal Girls School - Madurai,Salem,Urban,80.21,52.84,56.04,Stable,2.0,Below 5000,Secondary,5,13,2,False,False,False,False,False,False,2025-10-08T15:22:13.027871
STU0092,Aishwarya Shah,18,12,Municipal Girls School - Madurai,Villupuram,Urban,89.11,79.14,87.5,Declining,2.0,5000-10000,Secondary,5,0,0,False,False,False,True,True,False,2025-06-04T15:22:13.027880
STU0093,Radhika Dutta,13,7,Govt Girls High School - Tiruchirappalli,Villupuram,Rural,87.12,84.01,85.86,Stable,20.0,5000-10000,Illiterate,6,3,0,False,False,False,True,False,False,2025-07-14T15:22:13.027890
STU0094,Lakshmi Singh,11,6,Govt Model School - Thanjavur,Madurai,Urban,94.12,92.06,96.38,Stable,1.0,Above 20000,Higher Secondary,4,4,2,False,False,False,False,True,True,2025-10-23T15:22:13.027900
STU0095,Deepika Patel,14,7,Govt Girls High School - Tiruchirappalli,Thanjavur,Urban,99.23,85.69,76.25,Improving,2.0,5000-10000,Primary,7,0,1,False,False,False,False,False,False,2025-06-18T15:22:13.027908
STU0096,Saraswati Dutta,14,9,Panchayat Union School - Salem,Madurai,Rural,75.01,63.35,67.26,Stable,12.0,5000-10000,Graduate,3,10,5,False,False,False,False,True,False,2025-01-12T15:22:13.027917
STU0097,Priya Ali,15,10,Govt Girls High School - Tiruchirappalli,Chennai,Urban,96.58,88.43,84.23,Stable,2.0,Above 20000,Illiterate,7,1,3,False,False,False,True,True,False,2025-01-13T15:22:13.027925
STU0098,Nandini Patel,12,6,Govt Girls High School - Tiruchirappalli,Thanjavur,Semi-Urban,81.8,51.33,42.89,Improving,12.0,Below 5000,Illiterate,5,8,2,True,False,False,False,True,True,2025-10-03T15:22:13.027933
STU0099,Ananya Khan,13,6,Govt Girls High School - Tiruchirappalli,Vellore,Rural,96.01,84.93,89.94,Declining,5.0,Below 5000,Primary,5,2,3,False,False,False,False,False,False,2025-03-26T15:22:13.027943
STU0100,Sakshi Ghosh,13,7,Government Higher Secondary School - Coimbatore,Tiruchirappalli,Urban,78.79,60.83,66.37,Declining,0.5,Above 20000,Secondary,4,1,3,False,False,False,True,True,False,2025-06-13T15:22:13.027951
STU0101,Saraswati Bose,17,10,Corporation School - Vellore,Madurai,Urban,99.03,71.86,72.79,Stable,1.0,Above 20000,Primary,7,2,3,False,False,False,True,True,True,2025-01-08T15:22:13.027959
STU0102,Vaishnavi Desai,12,6,Govt Girls School - Chennai (North),Tiruchirappalli,Urban,77.02,64.59,65.98,Stable,3.0,10000-20000,Primary,8,10,1,False,False,False,True,True,True,2025-05-25T15:22:13.027967
STU0103,Riya Mukherjee,14,7,Govt Model School - Thanjavur,Villupuram,Rural,93.83,77.73,84.85,Declining,12.0,Below 5000,Secondary,8,4,4,False,False,False,False,False,True,2025-12-05T15:22:13.027976
STU0104,Parvati Kumar,16,9,Corporation School - Vellore,Vellore,Rural,78.84,51.44,43.03,Improving,10.0,Above 20000,Secondary,5,6,10,False,False,False,False,False,True,2025-10-01T15:22:13.027986
STU0105,Anjali Khan,15,10,Government Higher Secondary School - Coimbatore,Thanjavur,Urban,82.28,67.6,70.97,Stable,0.5,Above 20000,Graduate,6,2,3,True,False,False,False,True,True,2025-08-19T15:22:13.027994
STU0106,Ishita Sen,15,10,Corporation School - Vellore,Coimbatore,Rural,95.82,74.14,67.04,Improving,15.0,5000-10000,Primary,4,0,10,False,False,False,True,True,True,2025-10-27T15:22:13.028002
STU0107,Deepika Mukherjee,15,9,Govt Model School - Thanjavur,Madurai,Rural,68.48,44.51,48.35,Stable,20.0,Above 20000,Higher Secondary,4,10,2,False,False,True,False,False,True,2025-10-10T15:22:13.028011
STU0108,Aaradhya Bose,16,11,Govt Girls High School - Tiruchirappalli,Chennai,Urban,88.97,73.14,75.39,Stable,4.0,5000-10000,Graduate,4,5,1,False,False,False,False,False,False,2025-01-28T15:22:13.028019
STU0109,Deepika Pillai,12,7,Corporation School - Vellore,Chennai,Rural,72.95,42.95,33.25,Improving,7.0,5000-10000,Illiterate,6,4,5,True,False,False,True,True,True,2025-12-15T15:22:13.028029
STU0110,Sanjana Desai,13,7,Municipal Girls School - Madurai,Tiruchirappalli,Rural,67.89,36.67,36.25,Stable,10.0,10000-20000,Secondary,8,13,4,False,False,True,True,True,True,2025-04-20T15:22:13.028039
STU0111,Durga Kumar,15,10,Government Higher Secondary School - Coimbatore,Salem,Semi-Urban,83.7,66.21,59.58,Improving,1.0,10000-20000,Graduate,8,1,2,False,False,False,True,True,True,2025-10-03T15:22:13.028047
STU0112,Kavya Mehta,13,6,Govt Model School - Thanjavur,Villupuram,Semi-Urban,75.97,64.62,72.24,Declining,4.0,5000-10000,Secondary,7,0,3,False,False,False,True,True,False,2025-05-21T15:22:13.028055
STU0113,Kiara Gupta,17,11,Zilla Parishad School - Villupuram,Salem,Rural,92.4,90.05,96.34,Declining,12.0,Below 5000,Illiterate,8,0,8,False,False,False,True,True,True,2025-04-25T15:22:13.028070
STU0114,Ishita Reddy,17,11,Municipal Girls School - Madurai,Chennai,Semi-Urban,69.9,36.39,41.83,Declining,2.0,Above 20000,Higher Secondary,8,2,2,False,False,True,True,False,False,2025-06-23T15:22:13.028080
STU0115,Ishita Sharma,13,6,Corporation School - Vellore,Madurai,Rural,79.61,54.09,61.54,Declining,15.0,5000-10000,Illiterate,7,9,5,False,False,False,True,True,False,2025-12-29T15:22:13.028088
STU0116,Diya Shah,15,10,Corporation School - Vellore,Chennai,Urban,92.11,77.67,72.59,Improving,2.0,Below 5000,Primary,4,5,1,False,False,False,False,False,True,2025-04-14T15:22:13.028096
STU0117,Deepika Verma,16,10,Government Higher Secondary School - Coimbatore,Villupuram,Rural,77.78,69.85,78.92,Declining,12.0,Below 5000,Graduate,8,3,8,False,False,False,True,True,False,2025-02-24T15:22:13.028104
STU0118,Meera Chatterjee,15,8,Municipal Girls School - Madurai,Salem,Urban,87.02,93.36,90.86,Stable,2.0,Above 20000,Illiterate,6,0,3,False,False,False,True,False,False,2025-06-03T15:22:13.028113
STU0119,Gauri Roy,14,8,Panchayat Union School - Salem,Villupuram,Urban,82.94,52.33,60.12,Declining,1.0,10000-20000,Secondary,5,4,3,False,False,False,False,True,False,2025-10-01T15:22:13.028121
STU0120,Aditi Ali,14,9,Municipal Girls School - Madurai,Chennai,Urban,84.28,59.85,59.3,Stable,3.0,Above 20000,Secondary,8,5,1,False,False,False,False,False,True,2025-10-11T15:22:13.028130
STU0121,Nandini Jain,11,6,Municipal Girls School - Madurai,Villupuram,Urban,97.89,87.31,87.42,Stable,1.0,Below 5000,Illiterate,3,0,3,False,False,False,False,True,False,2025-04-16T15:22:13.028138
STU0122,Priya Mukherjee,18,12,Govt Girls High School - Tiruchirappalli,Vellore,Semi-Urban,66.5,43.53,44.23,Stable,2.0,10000-20000,Primary,3,14,1,False,True,True,True,True,True,2025-04-20T15:22:13.028146
STU0123,Pooja Das,17,11,Corporation School - Vellore,Coimbatore,Semi-Urban,69.44,34.95,42.29,Declining,0.5,5000-10000,Secondary,3,14,3,False,False,True,False,False,False,2025-05-06T15:22:13.028156
STU0124,Meera Ahmed,14,9,Government Higher Secondary School - Coimbatore,Thanjavur,Rural,99.37,78.01,73.73,Stable,7.0,5000-10000,Higher Secondary,6,0,9,False,False,False,True,True,False,2025-07-03T15:22:13.028165
STU0125,Aditi Das,14,8,Govt Model School - Thanjavur,Tiruchirappalli,Rural,85.83,70.5,73.36,Stable,5.0,5000-10000,Primary,3,2,9,False,False,False,False,False,False,2025-07-01T15:22:13.028173
